,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
200,600519.SH,20201118,1715.0,1720.53,1683.16,1693.65,1715.8,-22.15,-1.2909,35178.95,5973146.815
201,600519.SH,20201117,1740.0,1742.35,1701.07,1715.8,1730.05,-14.25,-0.8237,25224.03,4355288.047
202,600519.SH,20201116,1711.0,1730.05,1697.26,1730.05,1705.0,25.05,1.4692,30613.49,5247897.161
203,600519.SH,20201113,1724.0,1728.88,1691.0,1705.0,1734.79,-29.79,-1.7172,28155.48,4791276.459
204,600519.SH,20201112,1730.01,1750.0,1722.27,1734.79,1731.35,3.44,0.1987,23473.09,4071729.792
205,600519.SH,20201111,1745.0,1777.5,1731.0,1731.35,1745.0,-13.65,-0.7822,34850.73,6122365.404
206,600519.SH,20201110,1752.92,1764.48,1736.0,1745.0,1742.57,2.43,0.1394,30189.44,5287968.173
207,600519.SH,20201109,1701.38,1750.68,1700.62,1742.57,1700.62,41.95,2.4667,41469.7,7198679.683
208,600519.SH,20201106,1730.55,1731.59,1690.0,1700.62,1721.9,-21.28,-1.2358,23051.53,3932702.367
209,600519.SH,20201105,1717.0,1732.48,1712.1,1721.9,1699.58,22.32,1.3133,23524.14,4053043.271
210,600519.SH,20201104,1700.0,1704.0,1685.0,1699.58,1695.0,4.58,0.2702,16443.71,2788396.253
211,600519.SH,20201103,1684.99,1705.9,1675.5,1695.0,1674.01,20.99,1.2539,23497.49,3976621.208
212,600519.SH,20201102,1675.0,1695.0,1672.0,1674.01,1670.02,3.99,0.2389,21066.43,3544422.245
213,600519.SH,20201030,1678.0,1696.0,1665.0,1670.02,1676.0,-5.98,-0.3568,26055.45,4379602.068
214,600519.SH,20201029,1654.84,1708.0,1647.0,1676.0,1664.81,11.19,0.6721,39373.76,6633168.613
215,600519.SH,20201028,1626.0,1677.0,1625.08,1664.81,1625.0,39.81,2.4498,34636.53,5739452.181
216,600519.SH,20201027,1643.0,1644.0,1616.12,1625.0,1643.0,-18.0,-1.0956,43944.4,7156688.307
217,600519.SH,20201026,1619.0,1662.92,1600.0,1643.0,1715.33,-72.33,-4.2167,66015.29,10821908.227
218,600519.SH,20201023,1740.78,1747.59,1714.0,1715.33,1742.5,-27.17,-1.5593,19291.69,3339987.454
219,600519.SH,20201022,1730.0,1745.0,1715.51,1742.5,1733.33,9.17,0.529,22480.87,3897729.793
220,600519.SH,20201021,1734.1,1742.15,1723.0,1733.33,1734.0,-0.67,-0.0386,18901.37,3275357.44
221,600519.SH,20201020,1699.99,1734.97,1695.0,1734.0,1699.0,35.0,2.06,27734.93,4787807.536
222,600519.SH,20201019,1725.0,1733.98,1691.9,1699.0,1712.0,-13.0,-0.7593,19226.32,3284383.415
223,600519.SH,20201016,1725.0,1734.58,1703.0,1712.0,1725.0,-13.0,-0.7536,17377.38,2991246.892
224,600519.SH,20201015,1721.13,1735.0,1721.0,1725.0,1729.0,-4.0,-0.2313,16204.36,2801250.556
225,600519.SH,20201014,1740.0,1746.98,1726.0,1729.0,1739.0,-10.0,-0.575,20481.39,3554316.589
226,600519.SH,20201013,1750.62,1750.62,1735.0,1739.0,1750.61,-11.61,-0.6632,22943.89,3995560.518
227,600519.SH,20201012,1700.0,1750.61,1700.0,1750.61,1696.0,54.61,3.2199,43729.04,7597987.786
228,600519.SH,20201009,1692.0,1706.42,1688.0,1696.0,1668.5,27.5,1.6482,34239.88,5817280.605
229,600519.SH,20200930,1660.0,1691.9,1660.0,1668.5,1652.3,16.2,0.9805,27087.81,4536012.54
230,600519.SH,20200929,1669.33,1669.4,1652.3,1652.3,1661.0,-8.7,-0.5238,17430.78,2895081.366
231,600519.SH,20200928,1635.19,1668.5,1635.19,1661.0,1635.11,25.89,1.5834,24232.22,4019640.15
232,600519.SH,20200925,1630.0,1650.0,1625.0,1635.11,1629.32,5.79,0.3554,22582.96,3700843.486
233,600519.SH,20200924,1635.97,1658.88,1626.8,1629.32,1649.98,-20.66,-1.2521,30050.78,4915392.273
234,600519.SH,20200923,1635.0,1666.01,1621.02,1649.98,1665.69,-15.71,-0.9432,35725.52,5878691.069
235,600519.SH,20200922,1650.0,1686.98,1650.0,1665.69,1666.8,-1.11,-0.0666,23265.47,3890070.212
236,600519.SH,20200921,1692.76,1692.76,1666.66,1666.8,1695.0,-28.2,-1.6637,22444.07,3756765.108
